id,isCreator,tag,followerCount
100000,False,finance,47
100001,False,finance,55
100002,False,finance,42
100003,False,finance,52
100004,False,finance,58
100005,False,finance,43
100006,False,finance,46
100007,False,finance,49
100008,False,finance,52
100009,False,finance,45
100010,False,finance,49
100011,False,finance,43
100012,False,finance,52
100013,False,finance,52
100014,False,finance,46
100015,False,finance,54
100016,False,finance,40
100017,False,finance,45
100018,False,finance,46
100019,False,finance,51
100020,False,finance,64
100021,False,finance,52
100022,False,finance,38
100023,False,finance,33
100024,False,finance,48
100025,False,finance,58
100026,False,finance,45
100027,False,finance,41
100028,False,finance,56
100029,False,finance,54
100030,False,finance,56
100031,False,finance,47
100032,False,finance,59
100033,False,finance,46
100034,False,finance,46
100035,False,finance,55
100036,False,finance,60
100037,False,finance,40
100038,False,finance,56
100039,False,finance,56
100040,False,finance,50
100041,False,finance,46
100042,False,finance,61
100043,False,finance,48
100044,False,finance,44
100045,False,finance,45
100046,False,finance,63
100047,False,finance,53
100048,False,finance,57
100049,False,finance,60
100050,False,finance,46
100051,False,finance,44
100052,False,finance,48
100053,False,finance,40
100054,False,finance,65
100055,False,finance,50
100056,False,finance,69
100057,False,finance,50
100058,False,finance,45
100059,False,finance,52
100060,False,finance,34
100061,False,finance,61
100062,False,finance,41
100063,False,finance,54
100064,False,finance,44
100065,False,finance,47
100066,False,finance,53
100067,False,finance,39
100068,False,finance,46
100069,False,finance,54
100070,False,finance,50
100071,False,finance,53
100072,False,finance,54
100073,False,finance,64
100074,False,finance,47
100075,False,finance,45
100076,False,finance,57
100077,False,finance,51
100078,False,finance,39
100079,False,finance,61
100080,False,finance,47
100081,False,finance,60
100082,False,finance,53
100083,False,finance,52
100084,False,finance,39
100085,False,finance,51
100086,False,finance,53
100087,False,finance,55
100088,False,finance,46
100089,False,finance,53
100090,False,finance,53
100091,False,finance,39
100092,False,finance,45
100093,False,finance,60
100094,False,finance,57
100095,False,finance,52
100096,False,finance,43
100097,False,finance,45
100098,False,finance,53
100099,False,finance,62
100100,False,finance,48
100101,False,finance,45
100102,False,finance,58
100103,False,finance,42
100104,False,finance,64
100105,False,finance,51
100106,False,finance,41
100107,False,finance,60
100108,False,finance,54
100109,False,finance,47
100110,False,finance,57
100111,False,finance,50
100112,False,finance,57
100113,False,finance,54
100114,False,finance,60
100115,False,finance,47
100116,False,finance,52
100117,False,finance,49
100118,False,finance,45
100119,False,finance,29
100120,False,finance,57
100121,False,finance,41
100122,False,finance,56
100123,False,finance,53
100124,False,finance,34
100125,False,finance,51
100126,False,finance,50
100127,False,finance,57
100128,False,finance,49
100129,False,finance,58
100130,False,finance,48
100131,False,finance,42
100132,False,finance,51
100133,False,finance,53
100134,False,finance,51
100135,False,finance,48
100136,False,finance,47
100137,False,finance,33
100138,False,finance,59
100139,False,finance,49
100140,False,finance,50
100141,False,finance,42
100142,False,finance,48
100143,False,finance,53
100144,False,finance,47
100145,False,finance,50
100146,False,finance,53
100147,False,finance,37
100148,False,finance,64
100149,False,finance,48
100150,False,finance,49
100151,False,finance,64
100152,False,finance,43
100153,False,finance,39
100154,False,finance,39
100155,False,finance,37
100156,False,finance,58
100157,False,finance,57
100158,False,finance,40
100159,False,finance,53
100160,False,finance,55
100161,False,finance,45
100162,False,finance,55
100163,False,finance,47
100164,False,finance,47
100165,False,finance,59
100166,False,finance,55
100167,False,finance,50
100168,False,finance,46
100169,False,finance,48
100170,False,finance,61
100171,False,finance,66
100172,False,finance,53
100173,False,finance,45
100174,False,finance,54
100175,False,finance,39
100176,False,finance,35
100177,False,finance,49
100178,False,finance,47
100179,False,finance,41
100180,False,finance,52
100181,False,finance,38
100182,False,finance,54
100183,False,finance,47
100184,False,finance,47
100185,False,finance,56
100186,False,finance,48
100187,False,finance,40
100188,False,finance,35
100189,False,finance,40
100190,False,finance,55
100191,False,finance,69
100192,False,finance,45
100193,False,finance,37
100194,False,finance,53
100195,False,finance,49
100196,False,finance,52
100197,False,finance,33
100198,False,finance,49
100199,False,finance,45
100200,False,finance,49
100201,False,finance,52
100202,False,finance,54
